,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID,생년월일,신장,체중,입단계약금,연봉,지명순위,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율add장타율,득점권타율,대타타율,사진URL
11,12,박세혁,두산,0.263,79,261,228,34,60,9,1,4,83,34,1,4,62244,1990년 01월 09일,181cm,86kg,6000만원,23200만원,12 두산 5라운드 47순위,20,0,8,26,6,0.364,0.338,4,40.0,11,0.702,0.306,0.091,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62244.jpg
12,12,최용제,두산,0.263,19,40,38,7,10,0,1,0,12,7,1,0,64213,1991년 07월 12일,182cm,90kg,,2800만원,14 두산 육성선수,1,0,0,7,2,0.316,0.282,2,-,1,0.598,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64213.jpg
13,14,국해성,두산,0.253,40,87,79,10,20,1,0,3,30,17,0,1,79290,1989년 10월 08일,180cm,94kg,,4500만원,08 두산 육성선수,6,2,1,19,2,0.380,0.310,1,50.0,3,0.690,0.320,0.357,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79290.jpg
14,15,오재원,두산,0.237,65,146,131,24,31,5,1,5,53,26,1,2,77248,1985년 02월 09일,185cm,75kg,,30000만원,03 두산 2차 9라운드 72순위,12,0,0,40,3,0.405,0.297,4,69.2,7,0.702,0.243,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/77248.jpg
15,16,권민석,두산,0.233,37,50,43,3,10,0,0,0,10,2,2,2,68204,1999년 02월 20일,184cm,74kg,3000만원,2700만원,18 두산 2차 10라운드 100순위,3,0,0,12,0,0.233,0.271,1,100.0,2,0.504,0.222,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68204.jpg
16,17,장승현,두산,0.222,9,9,9,1,2,0,0,0,2,0,0,0,63202,1994년 03월 07일,184cm,86kg,7000만원,3500만원,13 두산 4라운드 36순위,0,0,0,2,1,0.222,0.222,0,-,0,0.444,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63202.jpg
17,18,안권수,두산,0.214,46,30,28,8,6,0,0,0,6,3,0,1,50202,1993년 04월 19일,175cm,80kg,3000만원,2700만원,20 두산 2차 10라운드 99순위,1,0,0,4,1,0.214,0.233,0,100.0,1,0.447,0.091,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50202.jpg
18,19,양찬열,두산,0.200,8,19,15,1,3,0,0,0,3,2,0,0,50293,1997년 05월 25일,179cm,84kg,4000만원,2700만원,20 두산 2차 8라운드 79순위,3,0,1,2,0,0.200,0.368,0,-,1,0.568,0.375,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50293.jpg
19,20,김인태,두산,0.190,53,83,63,12,12,5,0,1,20,8,2,1,63257,1994년 07월 03일,178cm,78kg,20000만원,5000만원,13 두산 1라운드 4순위,15,0,2,9,3,0.317,0.358,0,-,1,0.675,0.136,0.211,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63257.jpg
20,21,백동훈,두산,0.188,25,19,16,5,3,1,0,0,4,0,0,0,63559,1990년 09월 16일,184cm,98kg,6000만원,3600만원,13 롯데 5라운드 45순위,1,0,2,4,0,0.250,0.316,1,-,0,0.566,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63559.jpg
21,21,서예일,두산,0.188,20,19,16,2,3,1,0,0,4,1,0,1,66203,1993년 06월 19일,178cm,83kg,6000만원,3200만원,16 두산 2차 6라운드 56순위,2,0,0,3,0,0.250,0.263,2,-,0,0.513,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66203.jpg
22,23,정상호,두산,0.165,40,91,85,3,14,6,0,0,20,8,3,1,71842,1982년 12월 24일,187cm,100kg,45000만원,7000만원,01 SK 1차,2,0,0,28,4,0.235,0.182,2,-,4,0.417,0.154,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/71842.jpg
23,24,박지훈,두산,0.000,10,2,2,1,0,0,0,0,0,0,0,0,50204,2000년 09월 07일,183cm,80kg,6000만원,2700만원,20 두산 2차 5라운드 49순위,0,0,0,2,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50204.jpg
24,24,오명진,두산,0.000,5,4,4,0,0,0,0,0,0,0,0,0,50208,2001년 09월 04일,179cm,79kg,5000만원,2700만원,20 두산 2차 6라운드 59순위,0,0,0,1,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50208.jpg
25,1,신용수,롯데,0.429,5,8,7,2,3,0,0,0,3,2,0,0,69508,1996년 01월 05일,178cm,78kg,3000만원,2900만원,19 롯데 2차 10라운드 98순위,1,0,0,0,0,0.429,0.500,0,50.0,0,0.929,0.500,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69508.jpg
26,2,손아섭,롯데,0.353,92,403,351,69,124,29,0,7,174,59,1,6,77532,1988년 03월 18일,174cm,84kg,8000만원,200000만원,07 롯데 2차 4라운드 29순위,44,2,1,39,5,0.496,0.420,1,100.0,38,0.916,0.352,0.667,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/77532.jpg
27,3,김민수,롯데,0.333,2,7,6,1,2,0,0,0,2,0,0,0,67504,1998년 03월 18일,182cm,96kg,11000만원,3000만원,17 롯데 2차 2라운드 13순위,1,0,0,2,0,0.333,0.429,0,100.0,1,0.762,0.500,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67504.jpg
28,4,정훈,롯데,0.311,65,298,257,52,80,14,1,8,120,42,1,2,60523,1987년 07월 18일,180cm,85kg,,6400만원,06 현대 육성선수,35,0,3,56,3,0.467,0.397,2,87.5,26,0.864,0.397,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/60523.jpg
29,5,마차도,롯데,0.303,93,374,330,50,100,23,1,9,152,51,1,5,50506,1992년 02월 22일,185cm,91kg,200000달러,300000달러,20 롯데 자유선발,32,0,6,40,11,0.461,0.370,4,100.0,25,0.831,0.321,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50506.jpg
30,6,전준우,롯데,0.291,92,413,375,63,109,23,1,16,182,61,2,1,78513,1986년 02월 25일,184cm,97kg,10000만원,50000만원,08 롯데 2차 2라운드 15순위,29,0,6,50,13,0.485,0.350,3,57.1,34,0.835,0.264,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/78513.jpg
31,7,오윤석,롯데,0.288,25,69,59,8,17,3,0,0,20,9,0,0,64504,1992년 02월 24일,180cm,87kg,,4000만원,14 롯데 육성선수,8,0,2,16,1,0.339,0.391,1,50.0,4,0.730,0.444,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64504.jpg
32,8,이대호,롯데,0.286,93,396,353,42,101,19,0,14,162,69,0,6,71564,1982년 06월 21일,194cm,130kg,21000만원,250000만원,01 롯데 2차 1라운드 4순위,35,8,2,45,15,0.459,0.348,0,-,24,0.807,0.299,0.667,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/71564.jpg
33,9,안치홍,롯데,0.270,87,356,319,36,86,22,0,4,120,35,3,2,79608,1990년 07월 02일,178cm,97kg,18000만원,29000만원,09 KIA 2차 1라운드 1순위,27,2,5,39,8,0.376,0.334,10,82.4,20,0.710,0.260,0.750,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79608.jpg
34,10,한동희,롯데,0.267,84,326,285,34,76,12,0,11,121,43,4,3,68525,1999년 06월 01일,181cm,99kg,18000만원,4700만원,18 롯데 1차,31,0,3,65,8,0.425,0.342,7,0.0,18,0.767,0.186,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68525.jpg
35,11,김재유,롯데,0.250,36,66,56,10,14,1,0,0,15,5,1,0,65506,1992년 08월 07일,181cm,77kg,,2900만원,15 롯데 육성선수,7,0,2,20,1,0.268,0.354,1,85.7,2,0.622,0.211,0.400,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65506.jpg
36,11,지성준,롯데,0.250,3,11,8,0,2,0,0,0,2,2,0,0,64717,1994년 04월 10일,180cm,92kg,,5700만원,14 한화 육성선수,3,0,0,4,0,0.250,0.455,0,-,0,0.705,0.500,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64717.jpg
37,13,민병헌,롯데,0.231,80,301,273,35,63,12,0,2,81,19,4,2,76249,1987년 03월 10일,178cm,87kg,12000만원,125000만원,06 두산 2차 2라운드 14순위,17,1,5,54,8,0.297,0.286,0,62.5,14,0.583,0.154,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/76249.jpg
38,14,김준태,롯데,0.227,79,212,176,21,40,5,1,3,56,23,2,1,62558,1994년 07월 31일,175cm,91kg,,3800만원,12 롯데 육성선수,33,0,0,40,2,0.318,0.348,5,33.3,11,0.666,0.261,0.125,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62558.jpg
39,15,신본기,롯데,0.218,52,89,78,12,17,0,0,2,23,9,1,1,62556,1989년 03월 21일,179cm,88kg,12000만원,12500만원,12 롯데 2라운드 14순위,8,0,1,16,1,0.295,0.295,2,100.0,3,0.590,0.389,0.143,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62556.jpg
40,16,허일,롯데,0.217,41,69,60,4,13,3,0,1,19,5,2,0,61566,1992년 11월 20일,177cm,88kg,11000만원,4100만원,11 롯데 2라운드 12순위,6,0,1,19,4,0.317,0.299,0,-,0,0.616,0.267,0.077,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61566.jpg
41,17,김동한,롯데,0.200,54,53,50,14,10,2,0,0,12,4,0,0,61204,1988년 06월 24일,174cm,74kg,4000만원,4500만원,11 두산 8라운드 59순위,3,0,0,5,2,0.240,0.245,3,80.0,1,0.485,0.111,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61204.jpg
42,18,강로한,롯데,0.190,16,26,21,6,4,0,0,0,4,1,0,0,65515,1992년 05월 13일,181cm,78kg,4000만원,5300만원,15 롯데 2차 7라운드 68순위,4,0,1,6,0,0.190,0.346,1,66.7,0,0.536,0.111,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65515.jpg
43,19,정보근,롯데,0.130,64,124,108,7,14,1,0,0,15,3,6,1,68518,1999년 08월 31일,175cm,88kg,3000만원,2900만원,18 롯데 2차 9라운드 83순위,8,0,1,26,6,0.139,0.195,2,-,2,0.334,0.115,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68518.jpg
44,20,추재현,롯데,0.125,13,28,24,3,3,0,0,0,3,0,0,0,68362,1999년 02월 22일,179cm,89kg,8000만원,2700만원,18 넥센 2차 3라운드 28순위,4,0,0,8,0,0.125,0.250,0,-,0,0.375,0.000,0.200,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68362.jpg
45,21,김호준,롯데,0.000,5,4,3,0,0,0,0,0,0,0,0,0,65522,1995년 02월 27일,177cm,81kg,,2700만원,15 롯데 육성선수,1,0,0,2,0,0.000,0.250,0,-,0,0.250,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65522.jpg
46,21,배성근,롯데,0.000,1,3,3,0,0,0,0,0,0,0,0,0,64501,1995년 04월 27일,181cm,76kg,7000만원,3200만원,14 롯데 2차 4라운드 40순위,0,0,0,1,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64501.jpg
47,21,이병규,롯데,0.000,2,5,5,0,0,0,0,0,0,0,0,0,76100,1983년 10월 09일,178cm,90kg,,5000만원,06 LG 육성선수,0,0,0,2,1,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/76100.jpg
48,1,김상수,삼성,0.319,78,330,279,50,89,17,2,3,119,30,1,2,79402,1990년 03월 23일,175cm,68kg,28000만원,25000만원,09 삼성 1차,40,1,8,38,11,0.427,0.416,6,72.7,22,0.843,0.368,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79402.jpg
49,2,구자욱,삼성,0.314,74,320,280,40,88,16,0,8,128,45,0,3,62404,1993년 02월 12일,189cm,75kg,13000만원,28000만원,12 삼성 2라운드 12순위,32,2,5,61,1,0.457,0.391,1,76.5,27,0.848,0.309,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62404.jpg
50,3,박해민,삼성,0.314,86,336,312,51,98,14,3,7,139,36,5,0,62415,1990년 02월 24일,180cm,75kg,,30000만원,12 삼성 육성선수,18,0,1,50,5,0.446,0.353,0,69.2,32,0.799,0.328,0.750,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62415.jpg
51,4,이성곤,삼성,0.301,52,136,123,15,37,6,0,5,58,17,2,2,64266,1992년 03월 25일,186cm,93kg,10000만원,3500만원,14 두산 2차 3라운드 32순위,9,0,0,32,2,0.472,0.343,1,100.0,9,0.815,0.200,0.267,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64266.jpg
52,5,강민호,삼성,0.287,80,256,230,34,66,11,0,14,119,39,0,2,74540,1985년 08월 18일,185cm,100kg,9000만원,125000만원,04 롯데 2차 3라운드 17순위,22,2,2,43,11,0.517,0.352,5,-,15,0.869,0.339,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/74540.jpg
53,6,김동엽,삼성,0.285,68,259,242,31,69,13,0,10,112,36,1,2,66838,1990년 07월 24일,186cm,101kg,,13500만원,16 SK 2차 9라운드 86순위,13,0,1,54,9,0.463,0.322,1,75.0,17,0.785,0.268,0.429,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66838.jpg
54,7,살라디노,삼성,0.280,44,163,132,26,37,8,0,6,63,27,0,1,50468,1989년 07월 20일,183cm,90kg,100000달러,700000달러,20 삼성 자유선발,23,0,7,41,3,0.477,0.411,5,85.7,12,0.888,0.394,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50468.jpg
55,8,김호재,삼성,0.279,24,49,43,4,12,2,0,0,14,4,0,0,64407,1995년 05월 31일,178cm,72kg,,4000만원,14 삼성 육성선수,3,0,3,7,0,0.326,0.367,3,-,4,0.693,0.200,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64407.jpg
56,9,최영진,삼성,0.272,47,93,81,12,22,1,0,1,26,11,0,1,61197,1988년 05월 10일,185cm,87kg,,8000만원,11 LG 육성선수,10,0,1,13,2,0.321,0.355,2,33.3,5,0.676,0.208,0.300,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61197.jpg
57,10,이원석,삼성,0.268,82,315,269,34,72,12,0,8,108,57,1,9,75566,1986년 10월 21일,182cm,82kg,13000만원,30000만원,05 롯데 2차 2라운드 9순위,35,0,1,48,5,0.401,0.344,7,0.0,19,0.745,0.354,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/75566.jpg
58,11,김지찬,삼성,0.263,89,213,190,37,50,5,1,1,60,11,4,2,50458,2001년 03월 08일,163cm,64kg,11000만원,2700만원,20 삼성 2차 2라운드 15순위,15,0,2,25,1,0.316,0.321,8,89.5,7,0.637,0.209,0.429,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50458.jpg
59,12,박승규,삼성,0.262,75,181,168,21,44,11,0,1,58,13,4,0,69418,2000년 09월 02일,178cm,78kg,3000만원,3200만원,19 삼성 2차 9라운드 82순위,7,0,2,28,4,0.345,0.299,0,44.4,9,0.644,0.211,0.286,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69418.jpg
60,13,김헌곤,삼성,0.256,57,196,176,15,45,8,0,3,62,25,1,1,61404,1988년 11월 09일,174cm,81kg,7000만원,19000만원,11 삼성 5라운드 36순위,15,0,3,21,6,0.352,0.323,0,44.4,11,0.675,0.327,0.250,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61404.jpg
61,14,김성표,삼성,0.250,4,4,4,0,1,0,0,0,1,0,0,0,63435,1994년 03월 17일,179cm,65kg,6000만원,2800만원,13 삼성 6라운드 50순위,0,0,0,1,0,0.250,0.250,0,100.0,0,0.500,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63435.jpg
62,15,이학주,삼성,0.228,64,243,206,30,47,11,0,4,70,28,4,5,69453,1990년 11월 04일,187cm,87kg,,9000만원,19 삼성 2차 1라운드 2순위,26,1,2,58,3,0.340,0.314,4,75.0,10,0.654,0.234,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69453.jpg
63,16,박계범,삼성,0.222,47,116,108,15,24,5,0,2,35,10,2,0,64468,1996년 01월 11일,178cm,72kg,11000만원,5500만원,14 삼성 2차 2라운드 17순위,6,0,0,24,3,0.324,0.263,6,33.3,7,0.587,0.290,0.800,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64468.jpg
64,17,박찬도,삼성,0.219,51,116,96,20,21,5,0,1,29,8,2,2,62409,1989년 02월 22일,185cm,75kg,,5000만원,12 삼성 육성선수,15,1,1,22,2,0.302,0.325,0,83.3,3,0.627,0.300,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62409.jpg
65,18,김응민,삼성,0.213,35,67,61,4,13,1,0,0,14,5,1,0,60288,1991년 10월 22일,178cm,90kg,,3200만원,10 두산 육성선수,4,0,1,18,1,0.230,0.273,2,-,2,0.503,0.158,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/60288.jpg
66,19,송준석,삼성,0.207,15,32,29,4,6,4,0,0,10,5,0,0,64469,1994년 05월 04일,176cm,78kg,9000만원,4000만원,13 삼성 4라운드 32순위,2,0,1,4,2,0.345,0.281,0,-,2,0.626,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64469.jpg
67,20,김도환,삼성,0.200,12,20,15,0,3,2,0,0,5,5,1,2,69442,2000년 04월 14일,178cm,90kg,11000만원,5000만원,19 삼성 2차 2라운드 12순위,2,0,0,5,0,0.333,0.263,1,-,0,0.596,0.333,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69442.jpg
68,21,이성규,삼성,0.194,65,174,155,20,30,7,1,9,66,28,2,2,66409,1993년 08월 03일,178cm,82kg,8000만원,4300만원,16 삼성 2차 4라운드 31순위,11,0,4,45,4,0.426,0.262,3,66.7,5,0.688,0.200,0.200,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/66409.jpg
69,22,김민수,삼성,0.174,17,26,23,3,4,0,0,0,4,1,1,0,64793,1991년 03월 02일,177cm,80kg,11000만원,4300만원,14 한화 2차 2라운드 24순위,2,0,0,6,0,0.174,0.240,0,-,0,0.414,0.143,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64793.jpg
70,23,팔카,삼성,0.172,8,34,29,2,5,0,0,1,8,2,0,1,50469,1991년 10월 28일,188cm,104kg,20000달러,100000달러,20 삼성 자유선발,4,0,0,8,1,0.276,0.265,0,-,1,0.541,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50469.jpg
71,24,김재현,삼성,0.100,25,12,10,2,1,0,0,0,1,3,1,0,64499,1991년 08월 30일,176cm,73kg,6000만원,5500만원,14 삼성 2차 5라운드 54순위,1,0,0,2,1,0.100,0.182,1,-,0,0.282,0.167,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64499.jpg
72,25,라이블리,삼성,0.000,1,1,1,0,0,0,0,0,0,0,0,0,69439,1992년 03월 05일,193cm,86kg,,500000달러,19 삼성 자유선발,0,0,0,0,0,0.000,0.000,0,-,0,0.000,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69439.jpg
73,25,백승민,삼성,0.000,7,12,9,0,0,0,0,0,0,1,0,0,64410,1990년 07월 09일,184cm,78kg,3000만원,4500만원,14 삼성 2차 10라운드 97순위,1,0,2,2,0,0.000,0.250,0,-,0,0.250,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64410.jpg
74,25,양우현,삼성,0.000,3,10,9,0,0,0,0,0,0,0,0,0,69403,2000년 04월 13일,175cm,82kg,8000만원,2700만원,19 삼성 2차 3라운드 22순위,1,0,0,2,1,0.000,0.100,1,-,0,0.100,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69403.jpg
75,1,임지열,키움,1.000,1,1,1,1,1,0,0,0,1,0,0,0,64340,1995년 08월 22일,180cm,90kg,11000만원,2700만원,14 넥센 2차 2라운드 22순위,0,0,0,0,0,1.000,1.000,0,-,0,2.000,0.000,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64340.jpg
76,2,이정후,키움,0.343,100,442,391,65,134,36,4,15,223,79,2,7,67341,1998년 08월 20일,185cm,78kg,20000만원,39000만원,17 넥센 1차,38,4,4,30,12,0.570,0.400,2,90.0,38,0.970,0.368,1.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67341.jpg
77,3,변상권,키움,0.323,13,32,31,4,10,4,0,0,14,7,0,0,68305,1997년 04월 04일,180cm,80kg,,2700만원,18 넥센 육성선수,1,0,0,8,1,0.452,0.344,0,-,2,0.796,0.357,0.500,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/68305.jpg
78,4,이지영,키움,0.317,75,219,199,18,63,8,2,0,75,28,3,1,79456,1986년 02월 27일,178cm,85kg,,30000만원,08 삼성 육성선수,13,1,3,24,6,0.377,0.366,4,50.0,15,0.743,0.339,0.273,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79456.jpg
